"Title","Author","Description","Tags","Category","Product","Service","How To Investigate","Known False Positives","Query"
"VolumeShadowCopy Symlink Creation Via Mklink","Teymur Kheirkhabarov, oscd.community","Shadow Copies storage symbolic link creation using operating systems utilities","attack.credential_access, attack.t1003.002, attack.t1003.003","process_creation","windows","Not classified","Check for any legitimate administrative activity related to shadow copies and backup processes. 
Review the command line arguments of the process creation events. 
Look for any abnormal or unauthorized usage of mklink command with HarddiskVolumeShadowCopy parameter.","Legitimate administrator working with shadow copies, access for backup purposes","CommandLine=""*mklink*"" CommandLine=""*HarddiskVolumeShadowCopy*"""
"NtdllPipe Like Activity Execution","Florian Roth (Nextron Systems)","Detects command that type the content of ntdll.dll to a different file or a pipe in order to evade AV / EDR detection. As seen being used in the POC NtdllPipe","attack.defense_evasion","process_creation","windows","Not classified","Check for the presence of other suspicious activities or commands executed by the same process or user. 
Review the command line arguments and parameters passed to the type command. 
Analyze the process tree to identify any abnormal parent-child relationships. 
Inspect the output file or pipe to determine if it contains sensitive or unexpected data. 
Cross-reference with other security events or alerts to identify any correlation or patterns.","Legitimate use of type command to read the content of ntdll.dll for troubleshooting purposes.","CommandLine IN (""*type %windir%\\system32\\ntdll.dll*"", ""*type %systemroot%\\system32\\ntdll.dll*"", ""*type c:\\windows\\system32\\ntdll.dll*"", ""*\\ntdll.dll > \\\\.\\pipe\\*"")"
"Potential CommandLine Path Traversal Via Cmd.EXE","xknow @xknow_infosec, Tim Shelton","Detects potential path traversal attempt via cmd.exe. Could indicate possible command/argument confusion/hijacking","attack.execution, attack.t1059.003","process_creation","windows","Not classified","Review process creation logs from Windows event logs or other process monitoring solutions. 
Look for instances of cmd.exe being executed with command line arguments such as /c, /k, or /r. 
Check for parent processes that contain path traversal sequences like /../../ in their command line. 
Investigate any instances of cmd.exe being executed with path traversal sequences like /../../ in their command line. 
Pay attention to any Java tools that may be loading libraries and producing false positives, such as \Tasktop\keycloak\bin\/../../jre\bin\java.","Java tools are known to produce false-positive when loading libraries","ParentImage=""*\\cmd.exe"" OR Image=""*\\cmd.exe"" OR OriginalFileName=""cmd.exe"" ParentCommandLine IN (""*/c*"", ""*/k*"", ""*/r*"") OR CommandLine IN (""*/c*"", ""*/k*"", ""*/r*"") ParentCommandLine=""/../../"" OR CommandLine=""*/../../*"" NOT CommandLine=""*\\Tasktop\\keycloak\\bin\\/../../jre\\bin\\java*"""
"Sticky Key Like Backdoor Execution","Florian Roth (Nextron Systems), @twjackomo, Jonhnathan Ribeiro, oscd.community","Detects the usage and installation of a backdoor that uses an option to register a malicious debugger for built-in tools that are accessible in the login screen","attack.privilege_escalation, attack.persistence, attack.t1546.008, car.2014-11-003, car.2014-11-008","process_creation","windows","Not classified","Review process creation logs from the Windows event logs, specifically focusing on the ParentImage, Image, and CommandLine fields. 
Look for instances where the ParentImage ends with \winlogon.exe and the Image ends with any of the following \cmd.exe, \cscript.exe, \mshta.exe, \powershell.exe, \pwsh.exe, \regsvr32.exe, \rundll32.exe, \wscript.exe, \wt.exe. 
Check if the CommandLine contains any of the following sethc.exe, utilman.exe, osk.exe, Magnify.exe, Narrator.exe, DisplaySwitch.exe. 
Analyze the context of the activity, including the user account, time of occurrence, and any additional suspicious behavior. 
Consult with system administrators or security personnel to determine if the activity was authorized or expected. 
If the activity is deemed suspicious, further investigation may be required to identify the presence of a backdoor or malicious activity.","There may be instances where legitimate system administrators or security tools use these commands and executables for legitimate purposes. It is important to verify the context and intent of the activity before considering it a false positive.","ParentImage=""*\\winlogon.exe"" Image IN (""*\\cmd.exe"", ""*\\cscript.exe"", ""*\\mshta.exe"", ""*\\powershell.exe"", ""*\\pwsh.exe"", ""*\\regsvr32.exe"", ""*\\rundll32.exe"", ""*\\wscript.exe"", ""*\\wt.exe"") CommandLine IN (""*sethc.exe*"", ""*utilman.exe*"", ""*osk.exe*"", ""*Magnify.exe*"", ""*Narrator.exe*"", ""*DisplaySwitch.exe*"")"
"CMSTP Execution Process Creation","Nik Seetharaman","Detects various indicators of Microsoft Connection Manager Profile Installer execution","attack.defense_evasion, attack.execution, attack.t1218.003, attack.g0069, car.2019-04-001","process_creation","windows","Not classified","Review process creation logs from Windows Event Logs or Sysmon for instances where the ParentImage ends with \cmstp.exe. 
Analyze the CommandLine, ParentCommandLine, and Details fields of the process creation logs to identify any suspicious or malicious activity. 
Cross-reference the detected CMSTP execution with other security events or indicators of compromise to determine the severity and impact of the activity.","Legitimate CMSTP use (unlikely in modern enterprise environments)","ParentImage=""*\\cmstp.exe"""
"Conhost.exe CommandLine Path Traversal","Nasreddine Bencherchali (Nextron Systems)","detects the usage of path traversal in conhost.exe indicating possible command/argument confusion/hijacking","attack.execution, attack.t1059.003","process_creation","windows","Not classified","Review process creation logs from Windows event logs or other relevant sources. 
Look for instances of conhost.exe being executed with command line arguments containing path traversal patterns like /../../. 
Check for any abnormal or unexpected behavior associated with the conhost.exe process. 
Correlate the detection with other security events or indicators of compromise to determine the severity and impact of the potential command/argument confusion/hijacking.","Unlikely","ParentCommandLine=""*conhost*"" CommandLine=""*/../../*"""
"Control Panel Items","Kyaw Min Thein, Furkan Caliskan (@caliskanfurkan_)","Detects the malicious use of a control panel item","attack.execution, attack.defense_evasion, attack.t1218.002, attack.persistence, attack.t1546","process_creation","windows","Not classified","Check the process creation logs for instances of reg.exe being used with the add command and CurrentVersion\Control Panel\CPLs parameter. 
Look for command lines ending with .cpl that are not associated with system directories such as \System32\, %System%, or C\Windows\system32. 
Investigate instances of regsvr32 being used with the /s flag and igfxCPL.cpl parameter in the command line.","Legitimate use of control panel items by system administrators or authorized users","(Image=""*\\reg.exe"" OR OriginalFileName=""reg.exe"" CommandLine=""*add*"" CommandLine=""*CurrentVersion\\Control Panel\\CPLs*"") OR (CommandLine=""*.cpl"" NOT (CommandLine IN (""*\\System32\\*"", ""*%System%*"", ""*|C:\\Windows\\system32|*"") OR (CommandLine=""*regsvr32 *"" CommandLine=""* /s *"" CommandLine=""*igfxCPL.cpl*"")))"
"CreateDump Process Dump","Florian Roth (Nextron Systems), Nasreddine Bencherchali (Nextron Systems)","Detects uses of the createdump.exe LOLOBIN utility to dump process memory","attack.defense_evasion, attack.t1036, attack.t1003.001","process_creation","windows","Not classified","Check the process creation logs for instances of createdump.exe being executed. 
Look for command lines containing the flags -u, --full, -f, --name, and .dmp. 
Review the associated process information, such as the parent process, user account, and command line arguments. 
Cross-reference the process execution with other security events, such as network connections or file modifications, to determine if any malicious activity occurred.","Command lines that use the same flags","Image=""*\\createdump.exe"" OR OriginalFileName=""FX_VER_INTERNALNAME_STR"" CommandLine IN (""* -u *"", ""* --full *"", ""* -f *"", ""* --name *"", ""*.dmp *"")"
"Csc.EXE Execution Form Potentially Suspicious Parent","Florian Roth (Nextron Systems), Nasreddine Bencherchali (Nextron Systems), X__Junior (Nextron Systems)","Detects a potentially suspicious parent of ""csc.exe"", which could be a sign of payload delivery.","attack.execution, attack.t1059.005, attack.t1059.007, attack.defense_evasion, attack.t1218.005, attack.t1027.004","process_creation","windows","Not classified","Check the parent process of csc.exe and verify if it is a known legitimate process. Examples of suspicious parent processes include cscript.exe, mshta.exe, winword.exe, and wscript.exe. 
Check the command line arguments of the parent process to identify any suspicious behavior. For example, if the parent process is powershell.exe or pwsh.exe and the command line contains the arguments -Encoded or FromBase64String, it could indicate malicious activity. 
Analyze the parent process command line for suspicious file locations. Look for command lines that contain paths like ProgramData, %LocalAppData%, AppData, Roaming, Users\Public, PerfLogs, Temporary Internet, Users\Favorites, Users\Favourites, Users\Contacts, or Users\Pictures. 
If available, check the logs of the parent process for any additional indicators of compromise or suspicious activity. 
If the parent process command line contains encoded or obfuscated data, consider decoding or deobfuscating it to reveal its true nature. 
If the parent process is executed from an Ansible playbook, investigate the playbook and associated tasks for any signs of malicious activity.","Legitimate use of csc.exe by developers for compiling C# code 
Legitimate use of csc.exe by .NET framework 
Legitimate use of csc.exe by build automation tools like MSBuild 
Legitimate use of csc.exe by code obfuscation tools 
Legitimate use of csc.exe by malware analysis tools"
"Suspicious Use of CSharp Interactive Console","Michael R. (@nahamike01)","Detects the execution of CSharp interactive console by PowerShell","attack.execution, attack.t1127","process_creation","windows","Not classified","Check the process creation logs for instances of csi.exe being executed by powershell.exe, pwsh.exe, or powershell_ise.exe. 
Review the command-line arguments passed to csi.exe for any suspicious or unauthorized activity. 
Cross-reference with network connection logs to identify any suspicious network activity associated with the execution of csi.exe.","Legitimate use of CSharp interactive console by authorized users.","Image=""*\\csi.exe"" ParentImage IN (""*\\powershell.exe"", ""*\\pwsh.exe"", ""*\\powershell_ise.exe"") OriginalFileName=""csi.exe"""
"Suspicious Desktopimgdownldr Command","Florian Roth (Nextron Systems)","Detects a suspicious Microsoft desktopimgdownldr execution with parameters used to download files from the Internet","attack.command_and_control, attack.t1105","process_creation","windows","Not classified","Check the CommandLine and ParentCommandLine fields in process creation logs 
Look for the presence of /lockscreenurl in the CommandLine field 
Verify if the file extensions .jpg, .jpeg, or .png are present in the CommandLine field 
Examine the CommandLine field for the presence of reg delete and \PersonalizationCSP 
Cross-reference the suspicious command line with known legitimate usage of desktopimgdownldr, reg delete, and PersonalizationCSP 
Investigate the source and purpose of the file download, ensuring it aligns with authorized activities and policies 
Consult with system administrators or users to confirm if the observed activity is expected and legitimate 
Analyze network traffic logs for any suspicious communication related to the downloaded files","Legitimate usage of desktopimgdownldr with valid parameters 
Legitimate usage of reg delete command with valid arguments 
Legitimate usage of PersonalizationCSP in command line arguments 
False positives may occur when legitimate processes or tools are used to download files from the Internet","(CommandLine=""* /lockscreenurl:*"" NOT (CommandLine IN (""*.jpg*"", ""*.jpeg*"", ""*.png*""))) OR (CommandLine=""*reg delete*"" CommandLine=""*\\PersonalizationCSP*"")"
"DLL Sideloading by VMware Xfer Utility","Nasreddine Bencherchali (Nextron Systems)","Detects execution of VMware Xfer utility (VMwareXferlogs.exe) from the non-default directory which may be an attempt to sideload arbitrary DLL","attack.defense_evasion, attack.t1574.002","process_creation","windows","Not classified","Review process creation logs from Windows systems for instances of VMwareXferlogs.exe being executed from non-default directories. 
Check the command-line arguments used when executing VMwareXferlogs.exe to identify any suspicious or unexpected parameters. 
Inspect the parent process of VMwareXferlogs.exe to determine if it is a known legitimate process or if it is associated with any suspicious activity. 
Analyze network traffic logs for any unusual or suspicious communication originating from the system running VMwareXferlogs.exe. 
Monitor for any other indicators of compromise (IOCs) associated with DLL sideloading or known malicious activity.","Unlikely","Image=""*\\VMwareXferlogs.exe"" NOT Image=""C:\\Program Files\\VMware\\*"""
"New DNS ServerLevelPluginDll Installed Via Dnscmd.EXE","Florian Roth (Nextron Systems)","Detects the installation of a DNS plugin DLL via ServerLevelPluginDll parameter in registry, which can be used to execute code in context of the DNS server (restart required)","attack.defense_evasion, attack.t1574.002, attack.t1112","process_creation","windows","Not classified","Review your process creation logs for events matching this rule. 
Pay special attention to events where the ""Image"" ends with \dnscmd.exe. 
Focus on events where the ""CommandLine"" contains both /config and /serverlevelplugindll, indicating an attempt to install a DNS plugin DLL. 
Investigate the context of the event, such as the user account responsible for running dnscmd.exe. 
Examine any changes to the ServerLevelPluginDll registry key associated with DNS server configuration. 
Consider the purpose and legitimacy of the DNS plugin DLL installation. If it appears to be unauthorized or malicious, take appropriate action, including analyzing the DLL and potentially rolling back changes.","It can be challenging to determine known false positives since the installation of a DNS plugin DLL via dnscmd.exe is a potentially malicious action. Consider investigating each detection carefully.","Image=""*\\dnscmd.exe"" CommandLine=""*/config*"" CommandLine=""*/serverlevelplugindll*"""
"DNS Exfiltration and Tunneling Tools Execution","Daniil Yugoslavskiy, oscd.community","Well-known DNS Exfiltration tools execution","attack.exfiltration, attack.t1048.001, attack.command_and_control, attack.t1071.004, attack.t1132.001","process_creation","windows","Not classified","Review process creation logs for instances of the following executables 
iodine.exe 
dnscat2.exe 
Check for any suspicious or unauthorized usage of these tools. 
Cross-reference with network logs to identify any abnormal DNS traffic patterns. 
Investigate any connections to known malicious domains or IP addresses. 
Interview system administrators or users to determine if the usage was authorized.","Legitimate use of DNS tunneling tools for authorized purposes","Image IN (""*\\iodine.exe"", ""*\\dnscat2*"")"
"Suspicious Kernel Dump Using Dtrace","Florian Roth (Nextron Systems)","Detects suspicious way to dump the kernel on Windows systems using dtrace.exe, which is available on Windows systems since Windows 10 19H1","attack.discovery, attack.t1082","process_creation","windows","Not classified","Check the command line arguments of the process creation event for the presence of dtrace.exe and lkd(0) 
Review the process creation event for any other suspicious activity or indicators of compromise 
Cross-reference with other logs such as network traffic, file system activity, and authentication logs to identify any related suspicious behavior","Legitimate use of dtrace.exe for authorized debugging purposes","(Image=""*\\dtrace.exe"" CommandLine=""*lkd(0)*"") OR (CommandLine=""*syscall:::return*"" CommandLine=""*lkd(*"")"
"Copying Sensitive Files with Credential Data","Teymur Kheirkhabarov, Daniil Yugoslavskiy, oscd.community","Files with well-known filenames (sensitive files with credential data) copying","attack.credential_access, attack.t1003.002, attack.t1003.003, car.2013-07-001, attack.s0404","process_creation","windows","Not classified","Check if the file copy operation is performed by a legitimate process or user. 
Verify if the file copy operation is part of a backup or restore process. 
Investigate if the file copy operation is performed by a known incident responder or forensic investigator. 
Review the command-line arguments of the process to identify any suspicious or unauthorized activity. 
Analyze the file paths involved in the copy operation to determine if they are sensitive files with credential data. 
Cross-reference the file copy operation with other security events or indicators of compromise to identify any malicious behavior.","Copying sensitive files for legitimate use (e.g., backup) or forensic investigation by legitimate incident responder or forensic investigator","(Image=""*\\esentutl.exe"" OR OriginalFileName=""\\esentutl.exe"" CommandLine IN (""*vss*"", ""* /m *"", ""* /y *"")) OR CommandLine IN (""*\\windows\\ntds\\ntds.dit*"", ""*\\config\\sam*"", ""*\\config\\security*"", ""*\\config\\system *"", ""*\\repair\\sam*"", ""*\\repair\\system*"", ""*\\repair\\security*"", ""*\\config\\RegBack\\sam*"", ""*\\config\\RegBack\\system*"", ""*\\config\\RegBack\\security*"")"
"Potentially Suspicious Event Viewer Child Process","Florian Roth (Nextron Systems)","Detects uncommon or suspicious child processes of ""eventvwr.exe"" which might indicate a UAC bypass attempt","attack.defense_evasion, attack.privilege_escalation, attack.t1548.002, car.2019-04-001","process_creation","windows","Not classified","Review the process tree to identify the parent process of eventvwr.exe and its child processes 
Check the command-line arguments and parameters used by the child processes of eventvwr.exe 
Analyze the behavior and network connections of the child processes of eventvwr.exe using network logs or endpoint detection and response (EDR) logs 
Cross-reference the child processes of eventvwr.exe with known good processes or whitelisted applications 
Consult with system administrators or security teams to verify the legitimacy of the child processes of eventvwr.exe","Legitimate child processes of eventvwr.exe that are part of normal system operations 
Child processes of eventvwr.exe initiated by authorized system administrators or security tools 
Child processes of eventvwr.exe that are part of legitimate software installations or updates","ParentImage=""*\\eventvwr.exe"" NOT (Image IN (""*:\\Windows\\System32\\mmc.exe"", ""*:\\Windows\\System32\\WerFault.exe"", ""*:\\Windows\\SysWOW64\\WerFault.exe""))"
"Explorer NOUACCHECK Flag","Florian Roth (Nextron Systems)","Detects suspicious starts of explorer.exe that use the /NOUACCHECK flag that allows to run all sub processes of that newly started explorer.exe without any UAC checks","attack.defense_evasion, attack.t1548.002","process_creation","windows","Not classified","Check the process creation logs for instances of explorer.exe with the /NOUACCHECK flag in the command line. 
Look for parent processes that are not typical for explorer.exe, such as svchost.exe with specific command line parameters. 
Verify if the suspicious explorer.exe process is running with elevated privileges and bypassing UAC checks. 
Cross-reference the process with other security events or indicators of compromise to determine if it is part of a larger attack. 
Investigate any network connections or file activity associated with the suspicious process. 
Consult with system administrators or application owners to determine if any legitimate software products use the /NOUACCHECK flag.","Domain Controller User Logon","Image=""*\\explorer.exe"" CommandLine=""*/NOUACCHECK*"" NOT (ParentCommandLine=""C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s Schedule"" OR ParentImage=""C:\\Windows\\System32\\svchost.exe"")"
"Findstr GPP Passwords","frack113","Look for the encrypted cpassword value within Group Policy Preference files on the Domain Controller. This value can be decrypted with gpp-decrypt.","attack.credential_access, attack.t1552.006","process_creation","windows","Not classified","Review process creation logs for instances of findstr.exe being executed with the specified command line arguments. 
Check for legitimate use of findstr.exe for other purposes, such as searching for specific strings in files. 
Inspect the identified Group Policy Preference files on the Domain Controller to determine if the cpassword value is encrypted within them. 
Use gpp-decrypt tool to decrypt the cpassword value and verify if it matches the expected format.","Legitimate use of findstr.exe for other purposes, such as searching for specific strings in files.","Image=""*\\findstr.exe"" OR OriginalFileName=""FINDSTR.EXE"" CommandLine=""*cpassword*"" CommandLine=""*\\sysvol\\*"" CommandLine=""*.xml*"""
"Sysmon Discovery Via Default Driver Altitude Using Findstr.EXE","frack113","Detects usage of ""findstr"" with the argument ""385201"". Which could indicate potential discovery of an installed Sysinternals Sysmon service using the default driver altitude (even if the name is changed).","attack.discovery, attack.t1518.001","process_creation","windows","Not classified","Check the command line arguments of the process creation events for instances of findstr.exe with the argument ""385201"". 
Review the parent process and command line arguments to determine the context of the findstr.exe execution. 
Correlate with other events and logs to identify any suspicious or malicious activities associated with the findstr.exe execution. 
If possible, analyze the file system and registry for any changes or artifacts related to Sysmon service discovery.","Legitimate use of findstr.exe with the argument ""385201"" for non-malicious purposes.","Image=""*\\findstr.exe"" OR OriginalFileName=""FINDSTR.EXE"" CommandLine=""* 385201*"""
"Finger.exe Suspicious Invocation","Florian Roth (Nextron Systems), omkar72, oscd.community","Detects suspicious aged finger.exe tool execution often used in malware attacks nowadays","attack.command_and_control, attack.t1105","process_creation","windows","Not classified","Check the process creation logs for instances of finger.exe being executed. 
Look for any suspicious command-line arguments or parameters used with finger.exe. 
Correlate the finger.exe execution with other security events or indicators of compromise (IOCs). 
Review network logs for any unusual network connections or traffic associated with finger.exe. 
Compare the file hash of the finger.exe executable with known malicious hashes. 
Check if finger.exe is being executed from unusual or unauthorized locations on the system. 
Monitor for any abnormal behavior or system changes following the execution of finger.exe.","Admin activity (unclear what they do nowadays with finger.exe)","OriginalFileName=""finger.exe"" OR Image=""*\\finger.exe"""
"Filter Driver Unloaded Via Fltmc.EXE","Nasreddine Bencherchali","Detect filter driver unloading activity via fltmc.exe","attack.defense_evasion, attack.t1070, attack.t1562, attack.t1562.002","process_creation","windows","Not classified","Check for legitimate system maintenance or updates that may involve unloading filter drivers. 
Review system logs for any related events or activities. 
Cross-reference with change management records or maintenance schedules. 
Verify the presence of any authorized scripts or tools that may perform filter driver unloading. 
If no legitimate explanation is found, investigate further for signs of malicious activity.","Legitimate unloading of filter drivers during system maintenance or updates.","Image=""*\\fltMC.exe"" OR OriginalFileName=""fltMC.exe"" CommandLine=""*unload*"" NOT CommandLine=""*unload rtp_filesystem_filter"""
"Sysmon Driver Unloaded Via Fltmc.EXE","Kirill Kiryanov, oscd.community","Detects possible Sysmon filter driver unloaded via fltmc.exe","attack.defense_evasion, attack.t1070, attack.t1562, attack.t1562.002","process_creation","windows","Not classified","Check for legitimate reasons for unloading Sysmon filter driver via fltmc.exe, such as system maintenance or troubleshooting. 
Review the command line arguments of the fltmc.exe process to determine if the unload operation was intentional or suspicious. 
Cross-reference with other security events and logs to identify any other suspicious activities or indicators of compromise. 
Monitor for any subsequent events related to the unloaded Sysmon filter driver, such as attempts to bypass or disable other security controls.","Unlikely","Image=""*\\fltMC.exe"" OR OriginalFileName=""fltMC.exe"" CommandLine=""*unload*"" CommandLine=""*sysmon*"""
"Fsutil Suspicious Invocation","Ecco, E.M. Anhaus, oscd.community","Detects suspicious parameters of fsutil (deleting USN journal, configuring it with small size, etc).
Might be used by ransomwares during the attack (seen by NotPetya and others).
","attack.defense_evasion, attack.impact, attack.t1070, attack.t1485","process_creation","windows","Not classified","Check the process creation logs for the execution of fsutil.exe with suspicious parameters such as deletejournal, createjournal, or setZeroData. 
Look for any correlation with other suspicious activities or indicators of compromise (IOCs) related to ransomware attacks. 
Analyze the command-line arguments and parameters passed to fsutil.exe to determine if they align with legitimate administrative tasks or if they indicate malicious intent. 
Cross-reference the detected activity with known ransomware variants and their associated techniques, such as NotPetya or Lockbit. 
Review any additional logs or events that may provide context or evidence of malicious activity, such as file system changes or network connections. 
Consult with relevant threat intelligence sources or security vendors for any known patterns or indicators associated with this type of suspicious fsutil.exe invocation.","Admin activity 
Scripts and administrative tools used in the monitored environment","Image=""*\\fsutil.exe"" OR OriginalFileName=""fsutil.exe"" CommandLine IN (""*deletejournal*"", ""*createjournal*"", ""*setZeroData*"")"
"Suspicious GUP Usage","Florian Roth (Nextron Systems)","Detects execution of the Notepad++ updater in a suspicious directory, which is often used in DLL side-loading attacks","attack.defense_evasion, attack.t1574.002","process_creation","windows","Not classified","Check process creation logs for instances of GUP.exe being executed in the specified suspicious directories 
Windows Security Event Logs (Event ID 4688) can provide process creation information. 
Sysmon logs can also be used to track process creation events (Event ID 1). 
Endpoint detection and response (EDR) solutions may provide additional visibility into process execution. 
Once a potential match is found, investigate the process and its associated activities further 
Check the parent process and command-line arguments to identify the source of execution. 
Look for any suspicious network connections or file modifications made by the process. 
Analyze the process behavior using behavioral analysis tools or sandboxes to identify any malicious activities. 
Cross-reference the process with threat intelligence sources to determine if it is associated with known malicious activity. 
If the process is determined to be malicious, take appropriate response actions, such as isolating the affected system, blocking network communication, and initiating incident response procedures.","Execution of tools named GUP.exe and located in folders different than Notepad++\updater","Image=""*\\GUP.exe"" NOT (Image IN (""*\\Program Files\\Notepad++\\updater\\GUP.exe"", ""*\\Program Files (x86)\\Notepad++\\updater\\GUP.exe"") OR (Image=""*\\Users\\*"" Image IN (""*\\AppData\\Local\\Notepad++\\updater\\GUP.exe"", ""*\\AppData\\Roaming\\Notepad++\\updater\\GUP.exe"")))"
"HTML Help HH.EXE Suspicious Child Process","Maxim Pavlunin, Nasreddine Bencherchali (Nextron Systems)","Detects a suspicious child process of a Microsoft HTML Help (HH.exe)","attack.defense_evasion, attack.execution, attack.initial_access, attack.t1047, attack.t1059.001, attack.t1059.003, attack.t1059.005, attack.t1059.007, attack.t1218, attack.t1218.001, attack.t1218.010, attack.t1218.011, attack.t1566, attack.t1566.001","process_creation","windows","Not classified","Check the parent process to determine if it is a legitimate process or if it has been compromised. 
If the parent process is legitimate, investigate the child process to determine its purpose and whether it is expected in the environment. 
If the parent process is compromised, further investigation is required to identify the source of compromise and remediate the issue. 
Review relevant logs such as process creation logs (e.g., Windows Event ID 4688) to gather additional information about the parent and child processes. 
Analyze network traffic logs to identify any suspicious communication associated with the child process. 
Consult threat intelligence sources to check if the child process is known to be associated with any malicious activity. 
If necessary, perform memory or disk forensics to gather more evidence and understand the full extent of the compromise.","Legitimate processes that may be used by system administrators or legitimate software installations. 
False positives can occur if the parent process is legitimate and the child process is also legitimate. 
False positives can occur if the parent process is compromised and the child process is malicious, but the rule triggers on the child process only.","ParentImage=""*\\hh.exe"" Image IN (""*\\CertReq.exe"", ""*\\CertUtil.exe"", ""*\\cmd.exe"", ""*\\cscript.exe"", ""*\\installutil.exe"", ""*\\MSbuild.exe"", ""*\\MSHTA.EXE"", ""*\\msiexec.exe"", ""*\\powershell.exe"", ""*\\pwsh.exe"", ""*\\regsvr32.exe"", ""*\\rundll32.exe"", ""*\\schtasks.exe"", ""*\\wmic.exe"", ""*\\wscript.exe"")"
"Suspicious HH.EXE Execution","Maxim Pavlunin","Detects a suspicious execution of a Microsoft HTML Help (HH.exe)","attack.defense_evasion, attack.execution, attack.initial_access, attack.t1047, attack.t1059.001, attack.t1059.003, attack.t1059.005, attack.t1059.007, attack.t1218, attack.t1218.001, attack.t1218.010, attack.t1218.011, attack.t1566, attack.t1566.001","process_creation","windows","Not classified","Check the command line arguments of the process to determine if it is being used in a suspicious manner. 
Review the parent process and its legitimacy to understand the context of the HH.exe execution. 
Analyze the file path of HH.exe to identify any unusual or unexpected locations. 
Correlate the HH.exe execution with other security events or indicators of compromise (IOCs) to identify any malicious activity. 
Check the reputation of the file and its associated processes using threat intelligence sources. 
Monitor for any abnormal network connections or communication associated with the HH.exe execution. 
Review any relevant logs, such as web proxy logs, to identify any suspicious or malicious activity related to HH.exe. 
Consider performing a memory analysis or endpoint forensics to gather additional information about the HH.exe execution.","Legitimate use of HH.exe for authorized purposes, such as opening Microsoft HTML Help files","OriginalFileName=""HH.exe"" OR Image=""*\\hh.exe"" CommandLine IN (""*.application*"", ""*\\AppData\\Local\\Temp\\*"", ""*\\Content.Outlook\\*"", ""*\\Downloads\\*"", ""*\\Users\\Public\\*"", ""*\\Windows\\Temp\\*"")"
"HackTool - ADCSPwn Execution","Florian Roth (Nextron Systems)","Detects command line parameters used by ADCSPwn, a tool to escalate privileges in an active directory network by coercing authenticate from machine accounts and relaying to the certificate service","attack.credential_access, attack.t1557.001","process_creation","windows","Not classified","Review process creation logs on Windows systems for command line parameters containing --adcs and --port. 
Look for any suspicious activity or unauthorized use of ADCSPwn tool. 
Cross-reference with other security events or alerts to identify any related malicious activities. 
Investigate any abnormal network traffic or communication with the certificate service.","Unlikely","CommandLine=""* --adcs *"" CommandLine=""* --port *"""
"HackTool - Bloodhound/Sharphound Execution","Florian Roth (Nextron Systems)","Detects command line parameters used by Bloodhound and Sharphound hack tools","attack.discovery, attack.t1087.001, attack.t1087.002, attack.t1482, attack.t1069.001, attack.t1069.002, attack.execution, attack.t1059.001","process_creation","windows","Not classified","Check process creation logs for the presence of the following images \Bloodhound.exe and \SharpHound.exe 
Look for command line parameters that match the following patterns 
-CollectionMethod All 
--CollectionMethods Session 
--Loop --Loopduration 
--PortScanTimeout 
['.exe -c All -d'] 
['Invoke-Bloodhound'] 
['Get-BloodHoundData'] 
-JsonFolder 
-ZipFileName 
['DCOnly'] 
--NoSaveCache 
Investigate any processes that match the above criteria to determine if they are related to Bloodhound or Sharphound hack tools","Other programs that use these command line options and accept an All parameter","Product=""*SharpHound*"" OR Description=""*SharpHound*"" OR Company IN (""*SpecterOps*"", ""*evil corp*"") OR Image IN (""*\\Bloodhound.exe*"", ""*\\SharpHound.exe*"") OR CommandLine IN (""* -CollectionMethod All *"", ""* --CollectionMethods Session *"", ""* --Loop --Loopduration *"", ""* --PortScanTimeout *"", ""*.exe -c All -d *"", ""*Invoke-Bloodhound*"", ""*Get-BloodHoundData*"") OR (CommandLine=""* -JsonFolder *"" CommandLine=""* -ZipFileName *"") OR (CommandLine=""* DCOnly *"" CommandLine=""* --NoSaveCache *"")"
"HackTool - F-Secure C3 Load by Rundll32","Alfie Champion (ajpc500)","F-Secure C3 produces DLLs with a default exported StartNodeRelay function.","attack.defense_evasion, attack.t1218.011","process_creation","windows","Not classified","Investigate the process creation logs for instances of rundll32.exe being used to load DLLs with the StartNodeRelay function. 
Review the command line arguments of rundll32.exe processes to identify any suspicious DLLs being loaded. 
Check if the F-Secure C3 tool is authorized and being used for legitimate purposes. 
Cross-reference the detected activity with information from other log sources such as network logs, file system logs, and user activity logs to gather more context. 
If the activity is determined to be legitimate, add the process or DLL to the whitelist to prevent future false positives.","Legitimate use of F-Secure C3 tool for authorized purposes.","CommandLine=""*rundll32.exe*"" CommandLine=""*.dll*"" CommandLine=""*StartNodeRelay*"""
"CobaltStrike Load by Rundll32","Wojciech Lesicki","Rundll32 can be use by Cobalt Strike with StartW function to load DLLs from the command line.","attack.defense_evasion, attack.t1218.011","process_creation","windows","Not classified","Check the command line arguments of the rundll32.exe process for the presence of .dll and StartW or ,StartW 
Review the parent process and command line arguments to determine if it is a known legitimate use of rundll32.exe 
Analyze the loaded DLLs to identify any suspicious or malicious behavior","Legitimate use of rundll32.exe to load DLLs from the command line","Image=""*\\rundll32.exe"" OR OriginalFileName=""RUNDLL32.EXE"" OR CommandLine IN (""*rundll32.exe*"", ""*rundll32 *"") CommandLine=""*.dll*"" CommandLine IN (""* StartW"", ""*,StartW"")"
